harness,model,family,condition,version,complete,F,S,U,run_ids
MiniSWE,QwenNext,F04,I,revised,True,1,0,1,e451878f20564feca7c92494;e89457cb6da9713d3eef5ccd
MiniSWE,QwenNext,F04,B,revised,True,1,0,1,7f80d0374419b1b0660d8146;05caed6bc1fc7e86cb61d7a2
MiniSWE,QwenNext,F08,N,revised,True,1,0,1,f448ba9af0c7e87951541371;a34fc2b309f4df92e0e123a6
MiniSWE,QwenNext,F08,C,revised,True,1,0,1,e066f6216859f4ea01a27e31;419204b051a6231e867d0ddf
MiniSWE,QwenNext,F08,I,revised,True,1,0,1,07f62830ba9986be23495a2b;738791854c158884a15d85e1
MiniSWE,QwenNext,F08,B,revised,True,1,0,1,6b77810ceb2d7f7c52f1a76c;e7a9c4ff37f045a130304194
MiniSWE,QwenNext,F17,N,revised,True,1,0,1,0ddcc8f5ad6c440f896d375a;60109255eb955e7c86443dcc
MiniSWE,QwenNext,F17,C,revised,True,1,0,1,1b1936908cf6d55e5f7f7612;c8d6e945e017b06e3a9ecd48
MiniSWE,QwenNext,F17,I,revised,True,1,0,1,347799b220b32d70503cfe0c;6822e26005fa599b4cd3cf6f
MiniSWE,QwenNext,F17,B,revised,True,1,0,1,40fa2b162c4f259b737289b3;a05a21dcd839a1476e58270f
MiniSWE,QwenNext,F20,N,revised,True,1,0,1,7d74824f43f9f6a90ba3378b;9280475d8efbf19e65b80605
MiniSWE,QwenNext,F20,C,revised,True,1,0,1,3bcbbb3c826c24d4419fda2b;4b073213532c72384b3ce5cd
MiniSWE,QwenNext,F20,I,revised,True,1,0,1,95143ec13496823429646480;9570d6bedf4f9ea75acf2284
MiniSWE,QwenNext,F20,B,revised,True,1,0,1,87ca3fceab71751263547eb7;17fa30ce0044805cae644905
MiniSWE,QwenNext,X02,N,revised,True,0,1,0,9109b15085f076175770461c;58984699b9e279c20510c3d6
MiniSWE,QwenNext,X02,C,revised,True,0,1,0,c82a54b725cfa58b08a01a2c;f1efcbc5e38fa0a750bb6fbb
MiniSWE,QwenNext,X02,I,revised,True,0,1,0,66ccea2b856a3c0b05945f32;aa515545b1a06b3e7e139494
MiniSWE,QwenNext,X02,B,revised,True,0,1,0,fb347842662f449a7619327d;c763215aa47a8a9332b837c6
MiniSWE,QwenNext,X05,N,revised,True,0.5,0.5,0.5,fddc499b20fd9cf814fb4c1c;1c98a361d5c5b7c7ce880444
MiniSWE,QwenNext,X05,C,revised,True,0,1,0,65d8ca72148627169e1fb8a3;3a2ea31f716c8504d37dc8a6
MiniSWE,QwenNext,X05,I,revised,True,0.5,0.5,0.5,7851aa89f3b4feb8b1defb45;a39564cbd27af324f56c215b
MiniSWE,QwenNext,X05,B,revised,True,0.5,0.5,0.5,8c2f7aa6059ee987c396c9b2;61f378cc32b29d484cecd43f
MiniSWE,QwenNext,X06,N,revised,True,0.5,1,0,5934de62a46ceb5e21a382ef;25c55f204ad295d9ccb1cd45
MiniSWE,QwenNext,X06,C,revised,True,1,1,0,64f32ecc53a9df9e82fcdae2;d05f5299bf0f2a26a0b84211
MiniSWE,QwenNext,X06,I,revised,True,1,1,0,e8b34f13a6f9b28579f730d5;7d185c6d7a63f51ebc66f56d
MiniSWE,QwenNext,X06,B,revised,True,0.5,1,0,2f420e92287a453373030c16;3e4f5cdef9d0fd99fd7d3bbf
MiniSWE,QwenNext,X11,N,revised,True,1,0.5,0.5,ab449c4bfe5cc002764329c9;f0ab57741fe9d2396d7f4037
MiniSWE,QwenNext,X11,C,revised,True,0,1,0,eabeec11f9f9b17b85aab7ac;1bf6bacf0e1d4f30d24931b3
MiniSWE,QwenNext,X11,I,revised,True,0,0.5,0,782c237ce2c7a023d5e2033a;cab377ba001db070d155b17d
MiniSWE,QwenNext,X11,B,revised,True,0,1,0,464127a38a3db24832ccc658;3240c22dca80f7d07ac0de8d
MiniSWE,QwenNext,X20,N,revised,True,0.5,1,0,0b72e66630bfcb67d58225fa;44bd3a5f37dd86d56cbb8212
MiniSWE,QwenNext,X20,C,revised,True,0.5,1,0,aeaef17cd4cadbe71eedf423;4a3e9986b0f06596093677cb
MiniSWE,QwenNext,X20,I,revised,True,0,1,0,d842013ce29b69a43af2a2e9;21c4b59ffc43fd8699ff2396
MiniSWE,QwenNext,X20,B,revised,True,0,1,0,8a76b44f2a37bcd59adb9d73;aa0b1ea8c96a03721332196d
